time,stage,bno_accelMag, bno_accel X,bno_accel Y,bno_accel Z,bno_orien W,bno_orien X,bno_orien Y,bno_orien Z,bar_alt,bar_pressure,bar_temp,gps_angle,gpsPos lon,gpsPos lat,gpsPos alt
1843.53,0,9.78,0,-0.06,9.78,0.72,0,0.69,-0.02,0.86,0,0,260.83,-75.87,39.08,32.5
1843.65,0,9.75,-0.07,0,9.75,0.72,0,0.69,-0.02,0.83,0,0,260.83,-75.87,39.08,32.51
1843.76,0,9.75,-0.05,0,9.75,0.72,0,0.69,-0.02,0.77,0,0,260.83,-75.87,39.08,32.51
1843.86,0,9.75,-0.03,0.02,9.75,0.72,0,0.69,-0.02,0.71,0,0,260.83,-75.87,39.08,32.51
1843.97,0,9.77,0,0,9.77,0.72,0,0.69,-0.02,1,0,0,260.83,-75.87,39.08,32.51
1844.08,0,9.76,0.03,0,9.76,0.72,0,0.69,-0.02,0.87,0,0,260.83,-75.87,39.08,32.51
1844.18,0,9.75,0.09,0,9.75,0.72,0,0.69,-0.02,1.13,0,0,260.83,-75.87,39.08,32.51
1844.29,0,9.78,0.08,0.03,9.78,0.72,0,0.69,-0.02,1.07,0,0,260.83,-75.87,39.08,32.51
1844.4,0,9.77,-0.09,0.08,9.77,0.72,0,0.69,-0.02,0.82,0,0,260.83,-75.87,39.08,32.51
1844.51,0,9.76,-0.04,0.11,9.76,0.72,0,0.69,-0.02,0.8,0,0,260.83,-75.87,39.08,32.51
1844.62,0,9.75,-0.03,0,9.75,0.72,0,0.69,-0.02,0.71,0,0,260.83,-75.87,39.08,32.51
1844.72,0,9.76,-0.06,0.08,9.76,0.72,0,0.69,-0.02,0.44,0,0,260.83,-75.87,39.08,32.56
1844.83,0,9.78,-0.04,0.06,9.78,0.72,0,0.69,-0.02,0.75,0,0,260.83,-75.87,39.08,32.56
1844.94,0,9.75,0.01,0,9.75,0.72,0,0.69,-0.02,0.73,0,0,260.83,-75.87,39.08,32.56
1845.04,0,9.78,0.02,0,9.78,0.72,0,0.69,-0.02,0.69,0,0,260.83,-75.87,39.08,32.56
1845.15,0,9.75,0.02,0,9.75,0.72,0,0.69,-0.02,0.84,0,0,260.83,-75.87,39.08,32.56
1845.26,0,9.77,-0.07,0,9.77,0.72,0,0.69,-0.02,0.94,0,0,260.83,-75.87,39.08,32.56
1845.37,0,9.77,-0.09,0.03,9.77,0.72,0,0.69,-0.02,0.86,0,0,260.83,-75.87,39.08,32.56
1845.47,0,9.75,-0.04,0,9.75,0.72,0,0.69,-0.02,0.81,0,0,260.83,-75.87,39.08,32.56
1845.58,0,9.77,-0.06,-0.01,9.77,0.72,0,0.69,-0.02,0.83,0,0,260.83,-75.87,39.08,32.56
1845.69,0,9.74,-0.05,0.08,9.74,0.72,0,0.69,-0.02,0.92,0,0,260.83,-75.87,39.08,32.56
1845.86,0,9.77,0.06,-0.05,9.77,0.72,0,0.69,-0.02,0.94,0,0,260.83,-75.87,39.08,32.58
1845.97,0,9.74,-0.05,0.02,9.74,0.72,0,0.69,-0.02,0.85,0,0,260.83,-75.87,39.08,32.58
1846.07,0,9.77,-0.06,0.04,9.77,0.72,0,0.69,-0.02,0.76,0,0,260.83,-75.87,39.08,32.58
1846.18,0,9.75,-0.07,0.07,9.75,0.72,0,0.69,-0.02,0.88,0,0,260.83,-75.87,39.08,32.58
1846.29,0,9.75,0,0.1,9.75,0.72,0,0.69,-0.02,0.67,0,0,260.83,-75.87,39.08,32.58
1846.39,0,9.77,-0.07,0.01,9.77,0.72,0,0.69,-0.02,0.95,0,0,260.83,-75.87,39.08,32.58
1846.5,0,9.78,0.04,-0.02,9.78,0.72,0,0.69,-0.02,0.75,0,0,260.83,-75.87,39.08,32.58
1846.61,0,9.76,0,0.03,9.76,0.72,0,0.69,-0.02,0.88,0,0,260.83,-75.87,39.08,32.58
1846.71,0,9.78,0.05,-0.06,9.78,0.72,0,0.69,-0.02,0.82,0,0,260.83,-75.87,39.08,32.58
1846.89,0,9.76,-0.02,0.04,9.76,0.72,0,0.69,-0.02,0.72,0,0,260.83,-75.87,39.08,32.63
1846.99,0,9.76,-0.04,-0.06,9.76,0.72,0,0.69,-0.02,0.82,0,0,260.83,-75.87,39.08,32.63
1847.1,0,9.77,-0.06,-0.07,9.77,0.72,0,0.69,-0.02,0.75,0,0,260.83,-75.87,39.08,32.63
1847.21,0,9.76,0,0.1,9.76,0.72,0,0.69,-0.02,0.75,0,0,260.83,-75.87,39.08,32.63
1847.31,0,9.75,0,0.03,9.75,0.72,0,0.69,-0.02,0.78,0,0,260.83,-75.87,39.08,32.63
1847.42,0,9.77,-0.04,-0.07,9.77,0.72,0,0.69,-0.02,0.76,0,0,260.83,-75.87,39.08,32.63
1847.53,0,9.78,0.01,-0.03,9.78,0.72,0,0.69,-0.02,1.27,0,0,260.83,-75.87,39.08,32.63
1847.64,0,9.75,-0.05,0.06,9.75,0.72,0,0.69,-0.02,1.02,0,0,260.83,-75.87,39.08,32.63
1847.75,0,9.77,-0.02,-0.01,9.77,0.72,0,0.69,-0.02,0.93,0,0,260.83,-75.87,39.08,32.63
1847.87,0,9.76,-0.05,-0.04,9.76,0.72,0,0.69,-0.02,0.85,0,0,260.83,-75.87,39.08,32.61
1847.97,0,9.77,0,-0.01,9.77,0.72,0,0.69,-0.02,0.83,0,0,260.83,-75.87,39.08,32.61
1848.08,0,9.75,0,-0.02,9.75,0.72,0,0.69,-0.02,0.78,0,0,260.83,-75.87,39.08,32.61
1848.19,0,9.77,0.04,-0.02,9.77,0.72,0,0.69,-0.02,0.85,0,0,260.83,-75.87,39.08,32.61
1848.3,0,9.78,-0.03,0.03,9.78,0.72,0,0.69,-0.02,0.94,0,0,260.83,-75.87,39.08,32.61
1848.4,0,9.75,-0.04,0.08,9.75,0.72,0,0.69,-0.02,0.8,0,0,260.83,-75.87,39.08,32.61
1848.51,0,9.76,0,0,9.76,0.72,0,0.69,-0.02,0.82,0,0,260.83,-75.87,39.08,32.61
1848.62,0,9.77,0.02,0.04,9.77,0.72,0,0.69,-0.02,0.65,0,0,260.83,-75.87,39.08,32.61
1848.72,0,9.74,0.03,0.05,9.74,0.72,0,0.69,-0.02,0.73,0,0,260.83,-75.87,39.08,32.61
1848.83,0,9.76,-0.06,0.06,9.76,0.72,0,0.69,-0.02,0.74,0,0,260.83,-75.87,39.08,32.61
1849.05,0,9.76,0,0.06,9.76,0.72,0,0.69,-0.02,0.67,0,0,260.83,-75.87,39.08,32.67
1849.16,0,9.75,0.04,0.05,9.75,0.72,0,0.69,-0.02,0.9,0,0,260.83,-75.87,39.08,32.67
1849.27,0,9.75,0,0.02,9.75,0.72,0,0.69,-0.02,0.7,0,0,260.83,-75.87,39.08,32.67
1849.38,0,9.73,0,0.03,9.73,0.72,0,0.69,-0.02,0.57,0,0,260.83,-75.87,39.08,32.67
1849.53,0,9.77,-0.05,0.02,9.77,0.72,0,0.69,-0.02,0.75,0,0,260.83,-75.87,39.08,32.67
1849.64,0,9.77,-0.06,0.02,9.77,0.72,0,0.69,-0.02,0.87,0,0,260.83,-75.87,39.08,32.67
1849.75,0,9.79,-0.04,-0.09,9.79,0.72,0,0.69,-0.02,0.75,0,0,260.83,-75.87,39.08,32.67
1851.25,1,39.93,9.93,3.02,38.56,0.68,-0.11,0.73,0.07,86.23,0,0,291.63,-75.8750784,39.0839488,72.35
1851.36,1,39.92,9.5,2.61,38.68,0.67,-0.14,0.72,0.11,94.85,0,0,291.63,-75.8750784,39.0839488,72.35
1851.47,1,40.07,9.76,3.65,38.69,0.67,-0.17,0.71,0.14,113.73,0,0,291.63,-75.8750784,39.0839488,72.35
1851.58,1,39.76,7.88,4.13,38.75,0.66,-0.2,0.7,0.17,133.69,0,0,291.63,-75.8750784,39.0839488,72.35
1851.68,1,39.9,8.45,5.03,38.67,0.66,-0.21,0.7,0.18,144.79,0,0,291.63,-75.8750784,39.0839488,72.35
1851.79,1,39.83,8.38,4.66,38.66,0.65,-0.22,0.7,0.2,168.95,0,0,291.63,-75.8750784,39.0839488,72.35
1851.9,1,39.92,9.31,4.06,38.61,0.65,-0.23,0.7,0.21,195,0,0,291.63,-75.8750784,39.0839488,72.35
1852,1,39.88,8.99,3.6,38.69,0.65,-0.24,0.69,0.22,208.7,0,0,291.63,-75.8750784,39.0839488,72.35
1852.11,1,39.54,5.61,4.69,38.85,0.65,-0.25,0.68,0.23,239.01,0,0,291.63,-75.8750784,39.0839488,72.35
1852.28,1,39.75,7.98,3.91,38.74,0.64,-0.25,0.68,0.24,287.23,0,0,304.16,-75.8754304,39.084064,138.05
1852.38,1,39.65,7.94,2.24,38.78,0.64,-0.26,0.69,0.24,304.2,0,0,304.16,-75.8754304,39.084064,138.05
1852.49,1,39.52,6.99,1.92,38.85,0.64,-0.26,0.68,0.24,339.24,0,0,304.16,-75.8754304,39.084064,138.05
1852.59,1,39.22,2.24,2.21,39.1,0.63,-0.27,0.68,0.25,375.85,0,0,304.16,-75.8754304,39.084064,138.05
1852.7,1,39.24,3.31,1.36,39.07,0.63,-0.28,0.68,0.27,394.74,0,0,304.16,-75.8754304,39.084064,138.05
1852.81,1,39.4,6.22,3.06,38.79,0.62,-0.29,0.67,0.28,433.44,0,0,304.16,-75.8754304,39.084064,138.05
1852.91,1,38.54,6.17,0.65,38.04,0.61,-0.31,0.67,0.3,453.13,0,0,304.16,-75.8754304,39.084064,138.05
1853.02,1,36.68,5.68,2.24,36.17,0.6,-0.33,0.66,0.32,485.77,0,0,304.16,-75.8754304,39.084064,138.05
1853.12,1,29.52,4,1.43,29.22,0.58,-0.35,0.64,0.35,521.98,0,0,304.16,-75.8754304,39.084064,138.05
1853.24,1,18.28,4.5,-1.73,17.63,0.56,-0.38,0.62,0.39,559.34,0,0,353.5,-75.8755008,39.0842144,180.43
1853.35,1,9.17,3.18,0.2,8.6,0.53,-0.42,0.6,0.43,578.52,0,0,353.5,-75.8755008,39.0842144,180.43
1853.45,1,4.56,2.28,0.94,3.84,0.49,-0.46,0.56,0.48,616.63,0,0,353.5,-75.8755008,39.0842144,180.43
1853.56,1,2.36,0.6,2.03,1.04,0.45,-0.5,0.52,0.52,652.02,0,0,353.5,-75.8755008,39.0842144,180.43
1853.67,1,4.74,0.55,4.63,-0.88,0.4,-0.54,0.47,0.57,672.5,0,0,353.5,-75.8755008,39.0842144,180.43
1853.77,2,1.57,0.36,0.69,-1.36,0.35,-0.57,0.42,0.61,710.11,0,0,353.5,-75.8755008,39.0842144,180.43
1853.88,2,5.42,0.12,4.8,-2.52,0.29,-0.6,0.37,0.64,725.62,0,0,353.5,-75.8755008,39.0842144,180.43
1853.99,2,3.09,1.49,-2.14,-1.65,0.22,-0.63,0.3,0.68,769.87,0,0,353.5,-75.8755008,39.0842144,180.43
1854.09,2,5.38,-1.71,2.58,-4.4,0.16,-0.65,0.23,0.7,805.52,0,0,353.5,-75.8755008,39.0842144,180.43
1854.2,2,9.38,-4.52,4.43,-6.92,0.09,-0.67,0.16,0.72,825.29,0,0,353.5,-75.8755008,39.0842144,180.43
1854.31,2,10.5,-3.92,1.16,-9.67,0.02,-0.67,0.09,0.73,862.58,0,0,341.69,-75.875552,39.0843872,253.91
1854.42,2,13.74,-2.54,-1.11,-13.46,-0.06,-0.67,0,0.74,900.3,0,0,341.69,-75.875552,39.0843872,253.91
1854.52,2,12.93,-2.48,0.54,-12.67,-0.13,-0.66,-0.06,0.73,915.12,0,0,341.69,-75.875552,39.0843872,253.91
1854.63,2,14.62,-2.5,1.27,-14.35,-0.19,-0.65,-0.14,0.72,950.49,0,0,341.69,-75.875552,39.0843872,253.91
1854.73,2,14.85,-2.86,-3.3,-14.19,-0.26,-0.63,-0.21,0.7,1051.28,0,0,341.69,-75.875552,39.0843872,253.91
1854.84,2,14.22,-1.82,-2.24,-13.92,-0.32,-0.6,-0.28,0.67,1109.02,0,0,341.69,-75.875552,39.0843872,253.91
1854.95,2,13.44,-1.21,-1.59,-13.29,-0.39,-0.57,-0.35,0.64,1148.28,0,0,341.69,-75.875552,39.0843872,253.91
1855.06,2,14.61,-2.31,-2.36,-14.24,-0.44,-0.53,-0.41,0.6,1193.84,0,0,341.69,-75.875552,39.0843872,253.91
1855.16,2,13.84,-2.67,-2.04,-13.42,-0.48,-0.49,-0.46,0.56,1261.97,0,0,341.69,-75.875552,39.0843872,253.91
1855.27,2,14.29,-0.5,-3.11,-13.94,-0.53,-0.45,-0.51,0.51,1342.65,0,0,341.69,-75.875552,39.0843872,253.91
1855.44,2,14.5,-0.11,-2.83,-14.23,-0.58,-0.38,-0.57,0.44,1391.2,0,0,2.76,-75.8755648,39.0845568,308.11
1855.55,2,14.44,-0.78,-3.11,-14.08,-0.61,-0.33,-0.61,0.39,1404.34,0,0,2.76,-75.8755648,39.0845568,308.11
1855.65,2,13.55,-1.98,-0.95,-13.37,-0.63,-0.28,-0.64,0.35,1431.51,0,0,2.76,-75.8755648,39.0845568,308.11
1855.76,2,14.79,-2.92,-2.26,-14.32,-0.65,-0.24,-0.66,0.3,1502.03,0,0,2.76,-75.8755648,39.0845568,308.11
1855.87,2,14.68,-0.8,-3.31,-14.28,-0.66,-0.2,-0.68,0.25,1537.68,0,0,2.76,-75.8755648,39.0845568,308.11
1855.97,2,13.77,-0.23,-2.08,-13.61,-0.67,-0.16,-0.69,0.21,1571.36,0,0,2.76,-75.8755648,39.0845568,308.11
1856.08,2,13.98,-2.25,-1.44,-13.72,-0.68,-0.12,-0.71,0.16,1596.63,0,0,2.76,-75.8755648,39.0845568,308.11
1856.18,2,13.03,-2.22,-2.13,-12.66,-0.68,-0.08,-0.72,0.12,1608.68,0,0,2.76,-75.8755648,39.0845568,308.11
1856.29,2,13.5,-1.17,-1.46,-13.37,-0.69,-0.03,-0.72,0.06,1635.5,0,0,2.76,-75.8755648,39.0845568,308.11
1856.46,2,12.9,-0.95,-2.54,-12.61,-0.68,0.04,-0.73,-0.01,1660.56,0,0,356.75,-75.8755584,39.0846976,448.49
1856.57,2,13.85,-0.24,0.3,-13.84,-0.68,0.08,-0.73,-0.06,1686.27,0,0,356.75,-75.8755584,39.0846976,448.49
1856.68,2,13.5,-1.18,0.51,-13.44,-0.67,0.12,-0.72,-0.11,1738.34,0,0,356.75,-75.8755584,39.0846976,448.49
1856.78,2,12.58,-0.17,-2.31,-12.36,-0.65,0.17,-0.72,-0.17,1750.27,0,0,356.75,-75.8755584,39.0846976,448.49
1856.89,2,13.09,2.21,-2.34,-12.69,-0.64,0.22,-0.71,-0.22,1774.44,0,0,356.75,-75.8755584,39.0846976,448.49
1856.99,2,12.26,-0.38,-0.57,-12.24,-0.61,0.26,-0.69,-0.27,1797.9,0,0,356.75,-75.8755584,39.0846976,448.49
1857.1,2,12.14,-1.72,0.45,-12,-0.59,0.32,-0.67,-0.33,1808.68,0,0,356.75,-75.8755584,39.0846976,448.49
1857.2,2,12.62,-2.24,-1.71,-12.31,-0.55,0.37,-0.63,-0.4,1831.17,0,0,356.75,-75.8755584,39.0846976,448.49
1857.31,2,12.59,-1.07,-1.76,-12.42,-0.52,0.42,-0.59,-0.45,1873.05,0,0,356.75,-75.8755584,39.0846976,448.49
1857.48,2,12.41,0.64,0.27,-12.39,-0.44,0.49,-0.52,-0.54,1895.37,0,0,358.67,-75.8755328,39.0848128,561.14
1857.59,2,11.71,0.65,1.01,-11.65,-0.38,0.54,-0.46,-0.59,1916.13,0,0,358.67,-75.8755328,39.0848128,561.14
1857.69,2,11.41,-0.39,-0.03,-11.4,-0.33,0.57,-0.41,-0.63,1926.1,0,0,358.67,-75.8755328,39.0848128,561.14
1857.8,2,12.19,-1.71,-1.88,-11.92,-0.26,0.61,-0.34,-0.67,1946.59,0,0,358.67,-75.8755328,39.0848128,561.14
1857.91,2,10.78,-0.95,0.67,-10.71,-0.19,0.63,-0.27,-0.7,1965.49,0,0,358.67,-75.8755328,39.0848128,561.14
1858.01,2,11.03,-1.78,0.35,-10.88,-0.12,0.65,-0.2,-0.73,1975.77,0,0,358.67,-75.8755328,39.0848128,561.14
1858.12,2,11.42,-0.68,0.15,-11.4,-0.04,0.66,-0.12,-0.74,2003.82,0,0,358.67,-75.8755328,39.0848128,561.14
1858.23,2,10.78,-0.62,0.51,-10.75,0.03,0.66,-0.04,-0.75,2026.84,0,0,358.67,-75.8755328,39.0848128,561.14
1858.34,2,11.68,-2.42,0.02,-11.43,0.1,0.65,0.04,-0.75,2035.63,0,0,358.67,-75.8755328,39.0848128,561.14
1858.45,2,10.84,0.8,-0.69,-10.79,0.18,0.64,0.13,-0.74,2053.6,0,0,1.98,-75.8755072,39.0849248,736.86
1858.56,2,10.35,0.23,-1.56,-10.23,0.25,0.62,0.2,-0.72,2070.13,0,0,1.98,-75.8755072,39.0849248,736.86
1858.67,2,9.86,-0.03,0.43,-9.86,0.31,0.59,0.26,-0.69,2088.2,0,0,1.98,-75.8755072,39.0849248,736.86
1858.78,2,9.58,-2.37,-0.05,-9.29,0.38,0.56,0.33,-0.66,2096.88,0,0,1.98,-75.8755072,39.0849248,736.86
1858.88,2,9.8,-2.78,-0.49,-9.38,0.43,0.53,0.39,-0.62,2113.62,0,0,1.98,-75.8755072,39.0849248,736.86
1858.99,2,9.26,-2.03,-1.79,-8.86,0.48,0.48,0.45,-0.58,2130.31,0,0,1.98,-75.8755072,39.0849248,736.86
1859.1,2,9.34,-1.49,-1.62,-9.08,0.52,0.44,0.51,-0.53,2138.16,0,0,1.98,-75.8755072,39.0849248,736.86
1859.2,2,10.09,0,-2.31,-9.82,0.56,0.38,0.56,-0.48,2160.18,0,0,1.98,-75.8755072,39.0849248,736.86
1859.31,2,9.02,-1.29,-2.64,-8.52,0.59,0.34,0.6,-0.42,2168.38,0,0,1.98,-75.8755072,39.0849248,736.86
1859.41,2,9.09,-1.36,-1.39,-8.88,0.62,0.28,0.63,-0.36,2183.69,0,0,1.98,-75.8755072,39.0849248,736.86
1859.54,2,8.86,-1.9,-0.11,-8.65,0.65,0.21,0.67,-0.29,2200.33,0,0,1.11,-75.8754432,39.0850368,950.58
1859.65,2,8.85,-1.29,-1.79,-8.57,0.67,0.16,0.69,-0.23,2216.38,0,0,1.11,-75.8754432,39.0850368,950.58
1859.76,2,8.97,-1.27,-0.65,-8.86,0.68,0.09,0.71,-0.15,2225.22,0,0,1.11,-75.8754432,39.0850368,950.58
1859.86,2,8.53,-1.01,-0.7,-8.45,0.69,0.02,0.72,-0.08,2241.25,0,0,1.11,-75.8754432,39.0850368,950.58
1859.97,2,9.3,-0.21,-1.71,-9.14,0.68,-0.05,0.73,0,2257.11,0,0,1.11,-75.8754432,39.0850368,950.58
1860.07,2,8.88,-1.32,-1.38,-8.67,0.67,-0.11,0.73,0.06,2265.66,0,0,1.11,-75.8754432,39.0850368,950.58
1860.18,2,8.86,-1.02,-1.66,-8.65,0.66,-0.17,0.72,0.14,2279.84,0,0,1.11,-75.8754432,39.0850368,950.58
1860.29,2,8.19,-0.18,-2.04,-7.93,0.64,-0.24,0.7,0.21,2292.96,0,0,1.11,-75.8754432,39.0850368,950.58
1860.4,2,8.13,-0.97,-0.98,-8.01,0.61,-0.3,0.68,0.28,2299.99,0,0,1.11,-75.8754432,39.0850368,950.58
1860.5,2,7.92,0.35,-1.19,-7.82,0.58,-0.35,0.65,0.35,2314.38,0,0,1.11,-75.8754432,39.0850368,950.58
1860.67,2,7.37,0.89,-1.06,-7.24,0.51,-0.44,0.59,0.44,2335.61,0,0,2.34,-75.875392,39.0851648,1164.96
1860.78,2,7.23,-0.4,-0.87,-7.16,0.47,-0.48,0.55,0.49,2340.94,0,0,2.34,-75.875392,39.0851648,1164.96
1860.89,2,7,0.63,-2.19,-6.62,0.42,-0.52,0.51,0.54,2354.94,0,0,2.34,-75.875392,39.0851648,1164.96
1860.99,2,6.67,-0.59,-0.68,-6.61,0.36,-0.56,0.45,0.59,2367.07,0,0,2.34,-75.875392,39.0851648,1164.96
1861.1,2,6.04,0.44,-0.49,-6.01,0.31,-0.59,0.4,0.63,2371.89,0,0,2.34,-75.875392,39.0851648,1164.96
1861.21,2,6.24,-0.35,-0.01,-6.23,0.24,-0.62,0.34,0.66,2385.64,0,0,2.34,-75.875392,39.0851648,1164.96
1861.31,2,5.71,1.04,-0.23,-5.61,0.18,-0.64,0.28,0.69,2398.04,0,0,2.34,-75.875392,39.0851648,1164.96
1861.42,2,5.56,0.58,0.13,-5.53,0.12,-0.66,0.22,0.71,2405.11,0,0,2.34,-75.875392,39.0851648,1164.96
1861.55,2,4.85,-0.65,-0.72,-4.76,0.04,-0.67,0.14,0.73,2413.8,0,0,2.34,-75.875392,39.0851648,1164.96
1861.67,2,4.48,0.14,-0.02,-4.48,-0.03,-0.67,0.07,0.74,2426.26,0,0,4.47,-75.8753536,39.0852608,1332.76
1861.77,2,4.72,-0.49,0.52,-4.67,-0.1,-0.67,0,0.74,2438.81,0,0,4.47,-75.8753536,39.0852608,1332.76
1861.88,2,4.35,0.09,-0.26,-4.34,-0.16,-0.66,-0.07,0.74,2444.95,0,0,4.47,-75.8753536,39.0852608,1332.76
1861.98,2,4.06,-0.47,0.05,-4.03,-0.22,-0.64,-0.14,0.72,2457.04,0,0,4.47,-75.8753536,39.0852608,1332.76
1862.09,2,4.29,-0.67,-0.07,-4.23,-0.28,-0.62,-0.2,0.71,2469.36,0,0,4.47,-75.8753536,39.0852608,1332.76
1862.2,2,4.34,-0.34,0.19,-4.32,-0.34,-0.59,-0.27,0.69,2476.11,0,0,4.47,-75.8753536,39.0852608,1332.76
1862.3,2,3.83,-0.46,0.28,-3.79,-0.39,-0.55,-0.33,0.66,2486.96,0,0,4.47,-75.8753536,39.0852608,1332.76
1862.41,2,3.96,-0.66,-0.3,-3.89,-0.44,-0.52,-0.38,0.62,2498.2,0,0,4.47,-75.8753536,39.0852608,1332.76
1862.52,2,4.37,-0.69,-0.43,-4.3,-0.49,-0.48,-0.44,0.58,2505.39,0,0,4.47,-75.8753536,39.0852608,1332.76
